"","longitude_left","latitude_left","geometry","datetime_left","index_right","longitude_right","latitude_right","datetime_right"
"11941","76.8819066","8.5567608","POINT (76.88190659999999 8.556760799999999)","2020-03-11 10:54:38","3983","76.88190569999999","8.5567655","2020-03-12 12:05:41"
"2327","76.8819066","8.5567561","POINT (76.88190659999999 8.556756099999999)","2020-03-05 07:16:40","3990","76.8819105","8.5567551","2020-03-12 13:06:13"
"2369","76.8819113","8.5567525","POINT (76.8819113 8.5567525)","2020-03-05 07:31:20","3990","76.8819105","8.5567551","2020-03-12 13:06:13"
"10605","76.8819032","8.5567503","POINT (76.8819032 8.556750299999999)","2020-03-10 12:23:41","3990","76.8819105","8.5567551","2020-03-12 13:06:13"
"11941","76.8819066","8.5567608","POINT (76.88190659999999 8.556760799999999)","2020-03-11 10:54:38","3990","76.8819105","8.5567551","2020-03-12 13:06:13"
"13873","76.8819106","8.5567546","POINT (76.8819106 8.5567546)","2020-03-13 12:21:25","3990","76.8819105","8.5567551","2020-03-12 13:06:13"
"2327","76.8819066","8.5567561","POINT (76.88190659999999 8.556756099999999)","2020-03-05 07:16:40","4175","76.881907","8.556762299999999","2020-03-13 05:08:14"
"2398","76.8819012","8.5567685","POINT (76.8819012 8.5567685)","2020-03-05 07:41:10","4175","76.881907","8.556762299999999","2020-03-13 05:08:14"
"11941","76.8819066","8.5567608","POINT (76.88190659999999 8.556760799999999)","2020-03-11 10:54:38","4175","76.881907","8.556762299999999","2020-03-13 05:08:14"
"13873","76.8819106","8.5567546","POINT (76.8819106 8.5567546)","2020-03-13 12:21:25","4175","76.881907","8.556762299999999","2020-03-13 05:08:14"
"2327","76.8819066","8.5567561","POINT (76.88190659999999 8.556756099999999)","2020-03-05 07:16:40","4176","76.881907","8.556762299999999","2020-03-13 05:13:42"
"2398","76.8819012","8.5567685","POINT (76.8819012 8.5567685)","2020-03-05 07:41:10","4176","76.881907","8.556762299999999","2020-03-13 05:13:42"
